ID,gen
gene-KPHS_10780,transcriptional regulator PhoB
gene-KPHS_10790,positive and negative sensor protein for pho regulon
gene-KPHS_10800,branched chain amino acid transport system II carrier protein
gene-KPHS_10810,proline permease
gene-KPHS_10820,maltodextrin glucosidase
gene-KPHS_10830,putative LysR-family transcriptional regulator
gene-KPHS_10840,putative cysteine hydrolase
gene-KPHS_10850,putative transport protein
gene-KPHS_10860,amidohydrolase
gene-KPHS_10870,putative fructose-1%2C6-bisphosphate aldolase type II
gene-KPHS_10880,putative kinase
gene-KPHS_10890,putative sugar-specific permease
gene-KPHS_10900,putative phosphotransferase system%2C lactose/cellobiose-specific IIB subunit
gene-KPHS_10910,putative phosphoenolpyruvate-dependent sugar PTS family enzyme IIA component
gene-KPHS_10920,hypothetical protein
gene-KPHS_10930,putative thiol-alkyl hydroperoxide reductase
gene-KPHS_10940,phosphodiesterase
gene-KPHS_10950,hypothetical protein
gene-KPHS_10960,S-adenosylmethionine--tRNA ribosyltransferase-isomerase
gene-KPHS_10970,queuine tRNA-ribosyltransferase
gene-KPHS_10980,preprotein translocase auxillary subunit
gene-KPHS_10990,preprotein translocase subunit SecD
gene-KPHS_11000,preprotein translocase subunit SecF
gene-KPHS_11010,VOC family protein
gene-KPHS_11020,DeoR family transcriptional regulator
gene-KPHS_11030,nucleoside channel%2C receptor of phage T6 and colicin K
gene-KPHS_11040,DUF3251 domain-containing protein
gene-KPHS_11050,transcriptional regulator NrdR
gene-KPHS_11060,bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase
gene-KPHS_11070,6%2C7-dimethyl-8-ribityllumazine synthase
gene-KPHS_11080,transcription antitermination protein NusB
gene-KPHS_11090,thiamine monophosphate kinase
gene-KPHS_11100,phosphatidylglycerophosphatase
gene-KPHS_11110,putative NAD(P)H-dependent xylose reductase
gene-KPHS_11120,1-deoxy-D-xylulose-5-phosphate synthase
gene-KPHS_11130,geranyltranstransferase
gene-KPHS_11140,exodeoxyribonuclease VII small subunit
gene-KPHS_11150,thiamine biosynthesis protein ThiI
gene-KPHS_11160,SRPBCC domain-containing protein
gene-KPHS_11170,4-methyl-5(beta-hydroxyethyl)-thiazole monophosphate synthesis protein
gene-KPHS_11180,2-dehydropantoate 2-reductase
gene-KPHS_11190,YajQ family cyclic di-GMP-binding protein
gene-KPHS_11200,putative transport protein
gene-KPHS_11210,oxidoreductase
gene-KPHS_11220,general substrate transporter
gene-KPHS_11230,xylose isomerase-like TIM barrel
gene-KPHS_11240,FAD-dependent oxidoreductase
gene-KPHS_11250,NIPSNAP protein
gene-KPHS_11260,putative electron transfer flavoprotein-NAD/FAD/quinone oxidoreductase
gene-KPHS_11270,shikimate/quinate 5-dehydrogenase
gene-KPHS_11280,regulatory protein%2C IclR
gene-KPHS_11290,hypothetical protein
gene-KPHS_11300,protoheme IX farnesyltransferase
gene-KPHS_11310,cytochrome o ubiquinol oxidase subunit IV
gene-KPHS_11320,cytochrome o ubiquinol oxidase subunit III
gene-KPHS_11330,cytochrome o ubiquinol oxidase subunit I
gene-KPHS_11340,cytochrome o ubiquinol oxidase subunit II
gene-KPHS_11350,beta-lactamase synthesis regulator/muropeptide transporter
gene-KPHS_11360,lipoprotein
gene-KPHS_11370,transcriptional regulator BolA
gene-KPHS_11380,hypothetical protein
gene-KPHS_11390,trigger factor
gene-KPHS_11400,ATP-dependent Clp protease proteolytic subunit
gene-KPHS_11410,ATP-dependent protease ATP-binding subunit
gene-KPHS_11430,hypothetical protein
gene-KPHS_11420,DNA-binding ATP-dependent protease La
gene-KPHS_11440,transcriptional regulator HU subunit beta
gene-KPHS_11450,peptidyl-prolyl cis-trans isomerase
gene-KPHS_11460,helix-hairpin-helix domain-containing protein
gene-KPHS_11470,YbgC/FadM family acyl-CoA thioesterase
gene-KPHS_11480,queuosine biosynthesis protein QueC
gene-KPHS_11490,ABC transporter substrate-binding protein
gene-KPHS_11500,cof family hydrolase
gene-KPHS_11510,putative cysteine synthase/cystathionine beta-synthase
gene-KPHS_11520,putative LRP-like transcriptional regulator
gene-KPHS_11530,ATP-binding component of a transport system
gene-KPHS_11540,putative multidrug transporter membrane/ATP-binding components
gene-KPHS_11550,nitrogen regulatory protein P-II 2
gene-KPHS_11560,ammonium transporter
gene-KPHS_11570,acyl-CoA thioesterase II
gene-KPHS_11580,glycoprotein/polysaccharide metabolism
gene-KPHS_11590,putative methyltransferase
gene-KPHS_11600,putative dTDP-glucose pyrophosphorylase
gene-KPHS_11610,hypothetical protein
gene-KPHS_11620,hypothetical protein
gene-KPHS_11630,GntR family transcriptional regulator
gene-KPHS_11640,membrane protein
gene-KPHS_11650,nickel/cobalt efflux protein RcnA
gene-KPHS_11660,metal/formaldehyde-sensitive transcriptional repressor
gene-KPHS_11670,EAL domain-containing protein
gene-KPHS_11680,ABC transporter
gene-KPHS_11690,hypothetical protein
gene-KPHS_11700,periplasmic maltose-binding protein
gene-KPHS_11710,maltose ABC transporter permease
gene-KPHS_11720,putative binding-protein-dependent transport systems inner membrane component
gene-KPHS_11730,putative galactosidase
gene-KPHS_11740,beta-galactosidase 1
gene-KPHS_11750,putative phosphotransferase system PTS
gene-KPHS_11760,maltoporin
gene-KPHS_11770,porin%2C LamB family
gene-KPHS_11780,lac repressor
gene-KPHS_11790,putative 50S ribosomal protein L31 (second copy)
gene-KPHS_11800,50S ribosomal protein L36
gene-KPHS_11810,acetyltransferase
gene-KPHS_11820,transcriptional regulator
gene-KPHS_11830,YlaC family protein
gene-KPHS_11840,hypothetical protein
gene-KPHS_11850,maltose O-acetyltransferase
gene-KPHS_11860,hemolysin expression-modulating protein
gene-KPHS_11870,Hha toxicity modulator TomB
gene-KPHS_11880,acridine efflux pump
gene-KPHS_11890,acridine efflux pump
gene-KPHS_11900,DNA-binding transcriptional repressor AcrR
gene-KPHS_11910,potassium efflux protein KefA
gene-KPHS_11920,Rpn family recombination-promoting nuclease/putative transposase
gene-KPHS_11930,pleiotropic regulatory protein RsmS
gene-KPHS_11940,primosomal replication protein N''
gene-KPHS_11950,DUF454 family protein
gene-KPHS_11960,adenine phosphoribosyltransferase
gene-KPHS_11970,DNA polymerase III subunits gamma and tau
gene-KPHS_11980,DNA polymerase III subunits gamma and tau
gene-KPHS_11990,YbaB/EbfC family nucleoid-associated protein
gene-KPHS_12000,recombination protein RecR
gene-KPHS_12010,heat shock protein 90
gene-KPHS_12020,adenylate kinase
gene-KPHS_12030,ferrochelatase
gene-KPHS_12040,inosine-guanosine kinase
gene-KPHS_12050,putative cation:proton antiport protein
gene-KPHS_12060,hypothetical protein
gene-KPHS_12070,hypothetical protein
gene-KPHS_12080,fosmidomycin resistance protein
gene-KPHS_12090,bifunctional UDP-sugar hydrolase/5'-nucleotidase periplasmic
gene-KPHS_12100,Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK
gene-KPHS_12110,TraB/GumN family protein
gene-KPHS_12120,copper exporting ATPase
gene-KPHS_12130,copper responsive transcription regulator
gene-KPHS_12140,NfeD family protein
gene-KPHS_12150,putative protease
gene-KPHS_12160,putative ABC transporter ATP-binding protein YbbL
gene-KPHS_12170,putative metal resistance protein
gene-KPHS_12180,putative thioredoxin protein
gene-KPHS_12190,short chain dehydrogenase/reductase family oxidoreductase
gene-KPHS_12210,acyl-CoA thioesterase I
gene-KPHS_12200,putative ABC transporter ATP-binding protein YbbA
gene-KPHS_12220,putative oxidoreductase
gene-KPHS_12230,hypothetical protein
gene-KPHS_12240,putative outer membrane protein
gene-KPHS_12250,tRNA 2-selenouridine synthase
gene-KPHS_12260,phosphoribosylaminoimidazole carboxylase ATPase subunit
gene-KPHS_12270,phosphoribosylaminoimidazole carboxylase catalytic subunit
gene-KPHS_12280,hypothetical protein
gene-KPHS_12290,UDP-2%2C3-diacylglucosamine hydrolase
gene-KPHS_12300,peptidyl-prolyl cis-trans isomerase B
gene-KPHS_12310,cysteinyl-tRNA synthetase
gene-KPHS_12320,ribosome-associated protein YbcJ
gene-KPHS_12330,bifunctional 5%2C10-methylene-tetrahydrofolate dehydrogenase/ 5%2C10-methylene-tetrahydrofolate cyclohydrolase
gene-KPHS_12340,site-specific recombinase%2C phage integrase family
gene-KPHS_12350,phage/conjugal plasmid C-4 type zinc finger protein%2C TraR family
gene-KPHS_12360,hypothetical protein
gene-KPHS_12370,phage N-6-adenine-methyltransferase
gene-KPHS_12380,putative phage-like protein
gene-KPHS_12390,hypothetical protein
gene-KPHS_12400,hypothetical protein
gene-KPHS_12410,host nuclease inhibitor GamL
gene-KPHS_12420,hypothetical protein
gene-KPHS_12430,hypothetical protein
gene-KPHS_12440,regulatory protein CI bacteriophage origin
gene-KPHS_12450,Cro/Cl family transcriptional regulator
gene-KPHS_12460,bacteriophage CII family protein
gene-KPHS_12470,hypothetical protein
gene-KPHS_12480,hypothetical protein
gene-KPHS_12490,replicative DNA helicase
gene-KPHS_12500,protein ren
gene-KPHS_12510,hypothetical protein
gene-KPHS_12520,hypothetical protein
gene-KPHS_12530,RelE family toxin-antitoxin system
gene-KPHS_12540,Eaa1
gene-KPHS_12550,hypothetical protein
gene-KPHS_12560,putative ninG protein
gene-KPHS_12570,hypothetical protein
gene-KPHS_12580,class II holin family protein
gene-KPHS_12590,lysozyme
gene-KPHS_12600,DUF2570 domain-containing protein
gene-KPHS_12610,hypothetical protein
gene-KPHS_12620,hypothetical protein
gene-KPHS_12630,DUF2280 domain-containing protein
gene-KPHS_12640,phage terminase large subunit
gene-KPHS_12650,DUF1073 domain-containing protein
gene-KPHS_12660,putative phage head morphogenesis protein
gene-KPHS_12670,hypothetical protein
gene-KPHS_12680,DUF2213 domain-containing protein
gene-KPHS_12690,hypothetical protein
gene-KPHS_12700,transposase
gene-KPHS_12710,transposase InsC for insertion sequence IS903
gene-KPHS_12720,hypothetical protein
gene-KPHS_12730,hypothetical protein
gene-KPHS_12740,DUF2184 domain-containing protein
gene-KPHS_12750,hypothetical protein
gene-KPHS_12760,hypothetical protein
gene-KPHS_12770,hypothetical protein
gene-KPHS_12780,hypothetical protein
gene-KPHS_12790,DUF3383 domain-containing protein
gene-KPHS_12800,hypothetical protein
gene-KPHS_12810,Rha family transcriptional regulator
gene-KPHS_12820,hypothetical protein
gene-KPHS_12830,hypothetical protein
gene-KPHS_12840,transglycosylase
gene-KPHS_12850,hypothetical protein
gene-KPHS_12860,hypothetical protein
gene-KPHS_12870,Arc family DNA-binding protein
gene-KPHS_12880,antirepressor protein
gene-KPHS_12890,hypothetical protein
gene-KPHS_12900,baseplate J/gp47 family protein
gene-KPHS_12910,DUF2612 domain-containing protein
gene-KPHS_12920,tail fiber protein
gene-KPHS_12930,hypothetical protein
gene-KPHS_12940,hydroxyisourate hydrolase
gene-KPHS_12950,hypothetical protein
gene-KPHS_12960,hypothetical protein
gene-KPHS_12970,putative citrate synthase
gene-KPHS_12980,hypothetical protein
gene-KPHS_12990,two-component regulatory system response regulator
gene-KPHS_13000,fimbrial protein
gene-KPHS_13010,pilin chaperone
gene-KPHS_13020,putative outer membrane protein
gene-KPHS_13030,putative fimbrial biogenesis outer membrane usher protein
gene-KPHS_13040,GNAT family acetyltransferase
gene-KPHS_13050,lipid A biosynthesis lauroyl acyltransferase
gene-KPHS_13060,DUF1471 domain-containing protein
gene-KPHS_13070,transcriptional activator of cad operon
gene-KPHS_13080,arginine/agmatine antiporter
gene-KPHS_13090,lysine decarboxylase 1
gene-KPHS_13100,di-/tripeptide transport protein
gene-KPHS_13110,lysyl-tRNA synthetase
gene-KPHS_13120,hypothetical protein
gene-KPHS_13130,myo-inosose-2 dehydratase
gene-KPHS_13140,gfo/Idh/MocA family oxidoreductase
gene-KPHS_13150,putative oxidoreductase
gene-KPHS_13160,putative oxidoreductase
gene-KPHS_13170,LacI family DNA-binding transcriptional regulator
gene-KPHS_13180,putative periplasmic binding protein
gene-KPHS_13190,putative ABC transporter
gene-KPHS_13200,sugar ABC transport system permease component
gene-KPHS_13210,hypothetical protein
gene-KPHS_13220,hypothetical protein
gene-KPHS_13230,putative LacI family regulatory protein
gene-KPHS_13240,beta-fructofuranosidase%2C sucrose-6-phosphate hydrolase
gene-KPHS_13250,sucrose-specific enzyme II
gene-KPHS_13260,sucrose porin
gene-KPHS_13270,fructokinase
gene-KPHS_13280,hypothetical protein
gene-KPHS_13290,helix-turn-helix domain-containing protein
gene-KPHS_13300,DUF3302 domain-containing protein
gene-KPHS_13310,auxiliary transport protein%2C membrane fusion protein (MFP) family
gene-KPHS_13320,putative ABC transporter
gene-KPHS_13330,putative FecCD-family membrane transport protein
gene-KPHS_13340,putative periplasmic binding protein
gene-KPHS_13350,hypothetical protein
gene-KPHS_13360,hypothetical protein
gene-KPHS_13370,RcnB family protein
gene-KPHS_13380,hypothetical protein
gene-KPHS_13390,hypothetical protein
gene-KPHS_13400,aminobenzoyl-glutamate utilization protein
gene-KPHS_13410,amino acid ABC transporter substrate-binding protein
gene-KPHS_13420,putative aldo/keto reductase
gene-KPHS_13430,molybdenum cofactor biosynthesis protein F
gene-KPHS_13440,putative 3-ketoacyl-(acyl-carrier-protein) reductase
gene-KPHS_13450,putative arylsulfatase
gene-KPHS_13460,putative iron-sulfur modifier protein
gene-KPHS_13470,regulatory protein
gene-KPHS_13480,transporter
gene-KPHS_13490,putative deacetylase
gene-KPHS_13500,DUF3156 family protein
gene-KPHS_13510,putative amino acid/amine transport protein
gene-KPHS_13520,cupin domain-containing protein
gene-KPHS_13530,FAD-binding oxidoreductase
gene-KPHS_13540,putative aldehyde dehydrogenase
gene-KPHS_13550,YncE family protein
gene-KPHS_13560,putative TonB-dependent receptor
gene-KPHS_13570,putative phenylalanine-specific permease
gene-KPHS_13580,putative nucleoside H+ symporter
gene-KPHS_13590,putative xylose isomerase-like TIM barrel
gene-KPHS_13600,putative NADH-dependent dehydrogenase
gene-KPHS_13610,putative lipoprotein
gene-KPHS_13620,hypothetical protein
gene-KPHS_13630,LuxR family transcriptional regulator
gene-KPHS_13640,hypothetical protein
gene-KPHS_13650,hypothetical protein
gene-KPHS_13660,TcfC E-set like domain-containing protein
gene-KPHS_13670,hypothetical protein
gene-KPHS_13680,fimbrillin MatB
gene-KPHS_13690,RmbA
gene-KPHS_13700,hypothetical protein
gene-KPHS_13710,NUDIX hydrolase
gene-KPHS_13720,putative LacI family regulatory protein
gene-KPHS_13730,putative transport
gene-KPHS_13740,major facilitator superfamily transporter MFS_1
gene-KPHS_13750,helix-turn-helix domain-containing protein
gene-KPHS_13760,putative permease
gene-KPHS_13770,putative inner membrane protein
gene-KPHS_13780,putative inner membrane protein
gene-KPHS_13790,putative phosphosugar isomerase
gene-KPHS_13800,putative inner membrane protein
gene-KPHS_13810,putative transport protein%2C PTS system
gene-KPHS_13820,putative inner membrane protein
gene-KPHS_13830,putative transport protein%2C PTS system
gene-KPHS_13840,putative transport protein%2C PTS system
gene-KPHS_13850,dihydropteridine reductase/oxygen-insensitive NAD(P)H nitroreductase
gene-KPHS_13860,MmcQ/YjbR family DNA-binding protein
gene-KPHS_13870,TetR/AcrR family transcriptional regulator
gene-KPHS_13880,beta-lactamase
gene-KPHS_13890,putative regulatory protein
gene-KPHS_13900,putative inner membrane protein
gene-KPHS_13910,aldo/keto reductase
gene-KPHS_13920,Mg2+ transport ATPase%2C P-type 1
gene-KPHS_13930,putative secretion protein HlyD
gene-KPHS_13940,putative acridine efflux pump
gene-KPHS_13950,IS3 family transposase
gene-KPHS_13960,IS3 family transposase
gene-KPHS_13970,phosphodiester glycosidase family protein
gene-KPHS_13980,carboxylate-amine ligase
gene-KPHS_13990,DMT family transporter
gene-KPHS_14000,putative aminotransferase
gene-KPHS_14010,GntR family transcriptional regulator
gene-KPHS_14020,amino acid ABC transporter substrate-binding protein
gene-KPHS_14030,putative binding-protein-dependent transport systems inner membrane component
gene-KPHS_14040,putative binding-protein-dependent transport systems inner membrane component
gene-KPHS_14050,putative ABC transporter
gene-KPHS_14060,putative oxidoreductase
gene-KPHS_14070,aspartate aminotransferase family protein
gene-KPHS_14080,hypothetical protein
gene-KPHS_14090,peptide/opine/nickel ABC superfamily ATP binding cassette transporter%2C ABC protein
gene-KPHS_14100,putative ABC transport system oligopeptide translocator
gene-KPHS_14110,putative ABC transport system permease
gene-KPHS_14120,putative ABC transporter permease
gene-KPHS_14130,putative ABC transport system periplasmic dipeptide binding component
gene-KPHS_14140,putative GCN5-related N-acetyltransferase
gene-KPHS_14150,choline dehydrogenase
gene-KPHS_14160,NAD+-dependent betaine aldehyde dehydrogenase
gene-KPHS_14170,transcriptional regulator BetI
gene-KPHS_14180,choline transport protein BetT
gene-KPHS_14190,inhibitor of vertebrate lysozyme precursor
gene-KPHS_14200,small-conductance mechanosensitive ion channel MscS
gene-KPHS_14210,small-conductance mechanosensitive ion channel MscS
gene-KPHS_14220,glycine cleavage system transcriptional activator
gene-KPHS_14230,hypothetical protein
gene-KPHS_14240,putative S-transferase
gene-KPHS_14250,3-oxoacyl-(acyl-carrier-protein) reductase
gene-KPHS_14260,short-chain dehydrogenase/reductase SDR
gene-KPHS_14270,ribose transport system permease
gene-KPHS_14280,sugar ABC transporter permease
gene-KPHS_14290,putative ribose ABC transport system ATP-binding component
gene-KPHS_14300,DUF2291 domain-containing protein
gene-KPHS_14310,sugar ABC transporter periplasmic sugar-binding protein
gene-KPHS_14320,Carbohydrate kinase%2C FGGY-like protein
gene-KPHS_14330,putative sugar-binding domain protein
gene-KPHS_14340,transketolase domain-containing protein
gene-KPHS_14350,putative transketolase C-terminal subunit
gene-KPHS_14360,enterochelin synthetase component D
gene-KPHS_14370,ferrienterobactin receptor
gene-KPHS_14380,enterochelin esterase
gene-KPHS_14390,invasin-like protein
gene-KPHS_14400,ATP-dependent serine activating enzyme
gene-KPHS_14410,iron-enterobactin transporter ATP-binding protein
gene-KPHS_14420,iron complex transport system permease
gene-KPHS_14430,ferric enterobactin transport protein
gene-KPHS_14440,enterobactin exporter EntS
gene-KPHS_14450,iron-enterobactin transporter periplasmic binding protein
gene-KPHS_14460,isochorismate synthase
gene-KPHS_14470,enterobactin synthase subunit E
gene-KPHS_14480,2%2C3-dihydro-2%2C3-dihydroxybenzoate synthetase
gene-KPHS_14490,2%2C3-dihydro-2%2C3-dihydroxybenzoate dehydrogenase
gene-KPHS_14500,proofreading thioesterase EntH
gene-KPHS_14510,carbon starvation protein
gene-KPHS_14520,YbdD/YjiX family protein
gbkey=CDS,locus_tag=KPHS_14530
gene-KPHS_14540,type II toxin-antitoxin system RelE/ParE family toxin
gene-KPHS_14550,putative short-chain alcohol dehydrogenase
gene-KPHS_14560,putative alcohol dehydrogenase
gene-KPHS_14570,putative ABC transport system ATPase component
gene-KPHS_14580,inner-membrane translocator
gene-KPHS_14590,putative periplasmic binding protein/LacI transcriptional regulator
gene-KPHS_14600,hypothetical protein
gene-KPHS_14610,IS3 family transposase
gene-KPHS_14620,IS3 family transposase
gene-KPHS_14630,methylthioribose kinase
gene-KPHS_14640,S-methyl-5-thioribose-1-phosphate isomerase
gene-KPHS_14650,putative 3-phytase
gene-KPHS_14660,MFS transporter
gene-KPHS_14670,putative inositol monophosphatase
gene-KPHS_14680,putative periplasmic binding protein/LacI transcriptional regulator
gene-KPHS_14690,putative cytosine deaminase-related metal-dependent hydrolase
gene-KPHS_14700,DNA-binding protein
gene-KPHS_14710,cytosine permease
gene-KPHS_14720,methylthioribulose 1-phosphate dehydratase
gene-KPHS_14730,putative carbohydrate kinase
gene-KPHS_14740,D-isomer specific 2-hydroxyacid dehydrogenase NAD-binding protein
gene-KPHS_14750,putative kinase
gene-KPHS_14760,putative inner-membrane translocator
gene-KPHS_14770,ABC transporter permease
gene-KPHS_14780,putative ABC-type sugar transport system ATPase component
gene-KPHS_14790,sugar ABC transporter periplasmic sugar-binding protein
gene-KPHS_14800,biotin sulfoxide reductase
gene-KPHS_14810,1%2C2-dihydroxy-3-keto-5-methylthiopentene dioxygenase
gene-KPHS_14820,2%2C3-diketo-5-methylthio-1-phosphopentane phosphatase
gene-KPHS_14830,putative aminotransferase
gene-KPHS_14840,ParB-like nuclease domain-containing protein
gene-KPHS_14850,DUF3440 domain-containing protein
gene-KPHS_14860,putative LysR-family transcriptional regulator
gene-KPHS_14870,thiol:disulfide interchange protein DsbG
gene-KPHS_14880,alkyl hydroperoxide reductase subunit C
gene-KPHS_14890,alkyl hydroperoxide reductase FAD/NAD(P)-binding subunit
gene-KPHS_14900,universal stress protein UspG
gene-KPHS_14910,nucleoside diphosphate kinase regulator
gene-KPHS_14920,ribonuclease T2
gene-KPHS_14930,DcuC family dicarboxylate transport protein
gene-KPHS_14940,antimicrobial peptide resistance and lipid A acylation PagP
gene-KPHS_14950,cold-shock protein
gene-KPHS_14960,fluoride efflux transporter CrcB
gene-KPHS_14970,putative NAD(P)-binding amidase-type enzyme
gene-KPHS_14980,twin arginine translocase protein E
gene-KPHS_14990,lipoyl synthase
gene-KPHS_15000,putative DNA-binding transcriptional regulator
gene-KPHS_15010,lipoyltransferase
gene-KPHS_15020,YbeD family protein
gene-KPHS_15030,D-alanyl-D-alanine carboxypeptidase
gene-KPHS_15040,rare lipoprotein A
gene-KPHS_15050,cell wall shape-determining protein
gene-KPHS_15060,penicillin-binding protein 2
gene-KPHS_15070,SPOUT methyltransferase superfamily protein
gene-KPHS_15080,ribosome silencing factor
gene-KPHS_15090,cobC%2C a phosphohistidine protein
gene-KPHS_15100,nicotinic acid mononucleotide adenyltransferase
gene-KPHS_15110,DNA polymerase III subunit delta
gene-KPHS_15120,a minor lipoprotein
gene-KPHS_15130,leucyl-tRNA synthetase
gene-KPHS_15140,zinc ribbon-containing protein
gene-KPHS_15150,putative filamentous hemagglutinin
gene-KPHS_15160,putative hemolysin activator HlyB
gene-KPHS_15170,hypothetical protein
gene-KPHS_15180,glutamate/aspartate ABC transporter ATP-binding protein
gene-KPHS_15190,glutamate/aspartate ABC superfamily ATP binding cassette transporter%2C permease protein
gene-KPHS_15200,glutamate/aspartate ABC transporter permease
gene-KPHS_15210,glutamate/aspartate periplasmic binding protein
gene-KPHS_15220,apolipoprotein N-acyltransferase
gene-KPHS_15230,CNNM family magnesium/cobalt transport protein CorC
gene-KPHS_15240,putative metalloprotease
gene-KPHS_15250,ATP-binding protein
gene-KPHS_15260,tRNA-I(6)A37 thiotransferase enzyme MiaB
gene-KPHS_15270,2-octaprenyl-3-methyl-6-methoxy-1%2C4-benzoquinol hydroxylase
gene-KPHS_15280,asparagine synthetase B
gene-KPHS_15290,UMP phosphatase
gene-KPHS_15300,ROK family transcriptional regulator
gene-KPHS_15310,N-acetylglucosamine-6-phosphate deacetylase
gene-KPHS_15320,glucosamine-6-phosphate deaminase
gene-KPHS_15330,N-acetyl glucosamine specific PTS system components IIABC
gene-KPHS_15340,glutaminyl-tRNA synthetase
gene-KPHS_15350,B12-dependent methionine synthase
gene-KPHS_15360,chitoporin
gene-KPHS_15370,hypothetical protein
gene-KPHS_15380,ferric uptake regulator
gene-KPHS_15390,flavodoxin
gene-KPHS_15400,LexA regulated protein
gene-KPHS_15420,esterase YbfF
gene-KPHS_15410,hypothetical protein
gene-KPHS_15430,replication initiation regulator SeqA
gene-KPHS_15440,phosphoglucomutase
gene-KPHS_15450,putative arginine/ornithine antiporter
gene-KPHS_15460,KDP operon transcriptional regulatory protein KdpE
gene-KPHS_15470,sensor histidine kinase KdpD
gene-KPHS_15480,potassium-transporting ATPase subunit C
gene-KPHS_15490,potassium-transporting ATPase subunit B
gene-KPHS_15500,K+-transporting ATPase
gene-KPHS_15510,DUF2517 family protein
gene-KPHS_15520,deoxyribodipyrimidine photolyase
gene-KPHS_15530,putative transport protein
gene-KPHS_15540,putative hydrolase-oxidase
gene-KPHS_15550,putative carboxylase
gene-KPHS_15560,putative carboxylase
gene-KPHS_15570,5-oxoprolinase subunit PxpA
gene-KPHS_15580,DUF969 domain-containing protein
gene-KPHS_15590,DUF979 domain-containing protein
gene-KPHS_15600,pyroglutamyl-peptidase I
gene-KPHS_15610,endonuclease 8
gene-KPHS_15620,hypothetical protein
gene-KPHS_15630,type II citrate synthase
gene-KPHS_15640,succinate dehydrogenase%2C cytochrome b556 subunit
gene-KPHS_15650,succinate dehydrogenase cytochrome b556 small membrane subunit
gene-KPHS_15670,hypothetical protein
gene-KPHS_15660,succinate dehydrogenase flavoprotein subunit
gene-KPHS_15680,succinate dehydrogenase iron-sulfur subunit
gene-KPHS_15690,alpha-ketoglutarate decarboxylase
gene-KPHS_15700,dihydrolipoamide acetyltransferase
gene-KPHS_15710,succinyl-CoA synthetase subunit beta
gene-KPHS_15720,succinyl-CoA synthetase subunit alpha
gene-KPHS_15730,hypothetical protein
gene-KPHS_15740,cytochrome d terminal oxidase%2C polypeptide subunit I
gene-KPHS_15750,cytochrome d terminal oxidase polypeptide subunit II
gene-KPHS_15760,riboflavin synthase subunit beta
gene-KPHS_15770,cyd operon protein YbgE
gene-KPHS_15800,hypothetical protein
gene-KPHS_15780,protein TolQ
gene-KPHS_15790,colicin uptake protein TolR
gene-KPHS_15810,TolA colicin import membrane protein
gene-KPHS_15820,translocation protein TolB precursor
gene-KPHS_15830,peptidoglycan-associated lipoprotein
gene-KPHS_15840,tol-pal system protein YbgF
gene-KPHS_15850,hypothetical protein
gene-KPHS_15860,quinolinate synthetase
gene-KPHS_15870,nucleoside/purine/pyrimidine transport protein
gene-KPHS_15880,zinc transporter ZitB
gene-KPHS_15890,putative homeobox protein
gene-KPHS_15900,phospho-2-dehydro-3-deoxyheptonate aldolase
gene-KPHS_15910,phosphoglyceromutase
gene-KPHS_15920,aldose 1-epimerase
gene-KPHS_15930,galactokinase
gene-KPHS_15940,galactose-1-phosphate uridylyltransferase
gene-KPHS_15950,UDP-galactose 4-epimerase
gene-KPHS_15960,hypothetical protein
gene-KPHS_15970,molybdate transport system ATP-binding component
gene-KPHS_15980,molybdate transport system ATP-binding component
gene-KPHS_15990,DNA-binding transcriptional regulator ModE
gene-KPHS_16000,multidrug efflux pump-associated protein%2C AcrZ family
gene-KPHS_16010,molybdate transporter periplasmic protein
gene-KPHS_16020,molybdate ABC transporter permease
gene-KPHS_16030,molybdenum transport ATP-binding protein
gene-KPHS_16040,putative phosphatase
gene-KPHS_16050,6-phosphogluconolactonase
gene-KPHS_16060,two-component-system connector protein AriR
gene-KPHS_16070,hypothetical protein
gene-KPHS_16080,two-component-system connector protein YcgZ
gene-KPHS_16090,diguanylate phosphodiesterase
gene-KPHS_16100,putative regulatory protein MerR
gene-KPHS_16110,LuxR transcriptional regulator
gene-KPHS_16120,hypothetical protein
gene-KPHS_16130,hypothetical protein
gene-KPHS_16140,hypothetical protein
gene-KPHS_16150,acyltransferase family protein
gene-KPHS_16160,putative cation transport protein
gene-KPHS_16170,putative pectinesterase
gene-KPHS_16180,imidazolonepropionase
gene-KPHS_16190,formimidoylglutamase
gene-KPHS_16200,histidine utilization repressor
gene-KPHS_16210,putative urocanase
gene-KPHS_16220,putative urocanase
gene-KPHS_16230,histidine ammonia lyase
gene-KPHS_16240,putative amino acid permease
gene-KPHS_16250,putative kinase inhibitor protein
gene-KPHS_16260,adenosylmethionine-8-amino-7-oxononanoate aminotransferase
gene-KPHS_16270,biotin synthesis%2C sulfur insertion
gene-KPHS_16280,8-amino-7-oxononanoate synthase
gene-KPHS_16290,biotin biosynthesis protein BioC
gene-KPHS_16300,dithiobiotin synthetase
gene-KPHS_16310,hypothetical protein
gene-KPHS_16320,excinuclease ABC subunit B
gene-KPHS_16330,sensor protein for basR
gene-KPHS_16340,DNA-binding transcriptional regulator BasR
gene-KPHS_16350,putative cell division protein
gene-KPHS_16360,putative phosphatase/sulfatase
gene-KPHS_16370,molybdenum cofactor biosynthesis protein A
